Alias,Algorithm,Family,Role,CaseID,AnchorIndex,WTL
A-C3,MPHBS_SARSA_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_SARSA,SARSA,8,9,8/0/22
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,1,9,12/0/18
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,2,9,17/0/13
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,3,9,15/0/15
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,4,9,16/0/14
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,5,9,12/0/18
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,6,9,12/0/18
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,7,9,11/0/19
RA-C3,MPHBS_RANDOM_C3_K03_Ni09_AFTER_W050_G200_R250,MPHBS_RANDOM,RANDOM,8,9,11/0/19
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,1,9,16/0/14
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,2,9,14/0/16
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,3,9,9/0/21
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,4,9,19/0/11
A-C4,MPHBS_SARSA_C4_K03_Ni09_AFTER_W050_G300_R300,MPHBS_SARSA,SARSA,5,9,12/0/18
